ID;Nr receptury;Receptura;Objêtoœæ;DT pocz¹tek;DT przesypanie kr.;DT za³adunek;DT beton gotowy;DT zrzut;Czas cyklu WK;Czas oczekiwania WK;Czas cyklu skipu;Czas oczekiwania skipu;Czas za³adunku mieszarki;Czas mieszania zarobu;Czas cyklu mieszarki;Czas oczekiwania mieszarki;Czas cyklu ca³kowity;Czas oczekiwania ca³kowity;Zadane: Piasek;Zadane: ¯wir 2-8;Zadane: ¯wir 8-16;Zadane: --- kr.t4;Zadane: Cement;Zadane: Popió³;Zadane: --- ce.t3;Zadane: --- ce.t4;Zadane: Plast. PowerFlow;Zadane: Utw. Rapid-600;Zadane: --- ch.t3;Zadane: --- ch.t4;Zadane: Kruszywa ca³kowite;Zadane: Cementy ca³kowite;Zadane: Chemia ca³kowita;Zadane: Woda;Zadane: Wilgotnoœæ;Zwa¿one: Piasek;Zwa¿one: ¯wir 2-8;Zwa¿one: ¯wir 8-16;Zwa¿one: --- kr.t4;Zwa¿one: Cement;Zwa¿one: Popió³;Zwa¿one: --- ce.t3;Zwa¿one: --- ce.t4;Zwa¿one: Plast. PowerFlow;Zwa¿one: Utw. Rapid-600;Zwa¿one: --- ch.t3;Zwa¿one: --- ch.t4;Wsypane kruszywa ca³kowite;Wsypane cementy ca³kowite;Wlana chemia ca³kowita;Wlana woda;Koñcowa wilgotnoœæ;Koñcowy pr¹d mieszarki;
16286;1;FILIGRAN;0,8;19.08.2024 11:39:17;19.08.2024 11:41:04;19.08.2024 11:41:38;19.08.2024 11:43:15;19.08.2024 11:43:58;120;0;70;0;46;51;140;0;281;0;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;150;0;680;921;0;0;276;0;0;0;1,68;1,38;0;0;1590;278;3,16;150;0;16,6;
16287;1;FILIGRAN;0,8;19.08.2024 11:41:18;19.08.2024 11:43:05;19.08.2024 11:44:03;19.08.2024 11:45:36;19.08.2024 11:46:19;121;0;70;24;45;48;136;0;277;24;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;150;0;680;921;0;0;275;0;0;0;1,69;1,4;0;0;1591;278;3,18;150;0;16,2;
16288;4;BALKONY;0,9;19.08.2024 11:55:38;19.08.2024 11:57:30;19.08.2024 11:58:04;19.08.2024 11:59:51;19.08.2024 12:00:35;124;0;71;0;48;60;151;0;296;0;765;1035;0;0;315;0;0;0;1,89;1,57;0;0;1800;315;3,46;169;0;766;1035;0;0;312;0;0;0;1,88;1,51;0;0;1791;312;3,46;174;0;16,1;
16289;4;BALKONY;0,9;19.08.2024 11:57:44;19.08.2024 11:59:35;19.08.2024 12:00:39;19.08.2024 12:02:26;19.08.2024 12:03:10;125;0;71;30;48;60;151;0;296;30;765;1035;0;0;315;0;0;0;1,89;1,57;0;0;1800;315;3,46;169;0;765;1035;0;0;310;0;0;0;1,88;1,55;0;0;1794;314;3,52;168;0;17,9;
16290;4;BALKONY;0,8;19.08.2024 11:59:49;19.08.2024 12:01:51;19.08.2024 12:03:14;19.08.2024 12:04:55;19.08.2024 12:05:38;121;15;71;49;47;54;145;0;286;64;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;150;0;680;920;0;0;278;0;0;0;1,65;1,42;0;0;1593;279;3,14;154;0;15;
16291;1;FILIGRAN;0,8;19.08.2024 12:29:24;19.08.2024 12:36:03;19.08.2024 12:36:37;19.08.2024 12:38:23;19.08.2024 12:39:07;413;0;72;0;58;49;150;0;583;0;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;150;0;680;921;0;0;276;0;0;0;1,68;1,39;0;0;1591;276;3,19;148;0;16;
16292;1;FILIGRAN;0,8;19.08.2024 12:36:17;19.08.2024 12:38:05;19.08.2024 12:39:11;19.08.2024 12:40:46;19.08.2024 12:41:29;122;0;72;32;47;48;138;0;280;32;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;150;0;680;921;0;0;274;0;0;0;1,68;1,39;0;0;1591;279;3,15;149;0;15,7;
16293;4;BALKONY;0,9;19.08.2024 12:47:21;19.08.2024 12:49:13;19.08.2024 12:49:48;19.08.2024 12:51:36;19.08.2024 12:52:19;126;0;71;0;49;59;151;0;298;0;765;1035;0;0;315;0;0;0;1,89;1,57;0;0;1800;315;3,46;169;0;765;1035;0;0;311;0;0;0;1,87;1,54;0;0;1788;313;3,49;168;0;16,6;
16294;4;BALKONY;0,8;19.08.2024 12:49:27;19.08.2024 12:51:15;19.08.2024 12:52:23;19.08.2024 12:54:05;19.08.2024 12:54:48;121;0;71;34;46;55;144;0;286;34;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;150;0;680;920;0;0;277;0;0;0;1,69;1,41;0;0;1587;278;3,17;149;0;15,9;
16295;1;FILIGRAN;0,8;19.08.2024 12:55:53;19.08.2024 12:57:40;19.08.2024 12:58:15;19.08.2024 12:59:53;19.08.2024 13:00:36;121;0;71;0;49;50;142;0;284;0;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;148;0;680;920;0;0;276;0;0;0;1,68;1,39;0;0;1589;277;3,16;148;0;16,2;
