ID;Nr receptury;Receptura;Objêtoœæ;DT pocz¹tek;DT przesypanie kr.;DT za³adunek;DT beton gotowy;DT zrzut;Czas cyklu WK;Czas oczekiwania WK;Czas cyklu skipu;Czas oczekiwania skipu;Czas za³adunku mieszarki;Czas mieszania zarobu;Czas cyklu mieszarki;Czas oczekiwania mieszarki;Czas cyklu ca³kowity;Czas oczekiwania ca³kowity;Zadane: Piasek;Zadane: ¯wir 2-8;Zadane: ¯wir 8-16;Zadane: --- kr.t4;Zadane: Cement;Zadane: Popió³;Zadane: --- ce.t3;Zadane: --- ce.t4;Zadane: Plast. PowerFlow;Zadane: Utw. Rapid-600;Zadane: --- ch.t3;Zadane: --- ch.t4;Zadane: Kruszywa ca³kowite;Zadane: Cementy ca³kowite;Zadane: Chemia ca³kowita;Zadane: Woda;Zadane: Wilgotnoœæ;Zwa¿one: Piasek;Zwa¿one: ¯wir 2-8;Zwa¿one: ¯wir 8-16;Zwa¿one: --- kr.t4;Zwa¿one: Cement;Zwa¿one: Popió³;Zwa¿one: --- ce.t3;Zwa¿one: --- ce.t4;Zwa¿one: Plast. PowerFlow;Zwa¿one: Utw. Rapid-600;Zwa¿one: --- ch.t3;Zwa¿one: --- ch.t4;Wsypane kruszywa ca³kowite;Wsypane cementy ca³kowite;Wlana chemia ca³kowita;Wlana woda;Koñcowa wilgotnoœæ;Koñcowy pr¹d mieszarki;
16330;1;FILIGRAN;0,8;19.08.2024 21:01:53;19.08.2024 21:03:41;19.08.2024 21:04:15;19.08.2024 21:05:58;19.08.2024 21:06:41;121;0;71;0;52;50;145;0;287;0;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;149;0;680;920;0;0;276;0;0;0;1,67;1,39;0;0;1588;281;3,18;150;0;15,6;
16331;1;FILIGRAN;0,8;19.08.2024 21:03:55;19.08.2024 21:05:43;19.08.2024 21:06:45;19.08.2024 21:08:25;19.08.2024 21:09:19;121;0;72;27;49;52;144;10;286;37;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;149;0;680;920;0;0;276;0;0;0;1,7;1,4;0;0;1591;283;3,21;160;0;15,5;
16332;1;FILIGRAN;0,4;19.08.2024 21:05:57;19.08.2024 21:07:57;19.08.2024 21:09:23;19.08.2024 21:10:48;19.08.2024 21:11:43;102;31;72;52;43;43;129;11;251;94;340;460;0;0;140;0;0;0;0,84;0,7;0;0;800;140;1,54;74;0;340;461;0;0;138;0;0;0;0,84;0,71;0;0;791;137;1,66;79;0;12,4;
16333;1;FILIGRAN;0,8;19.08.2024 21:12:43;19.08.2024 21:14:31;19.08.2024 21:15:06;19.08.2024 21:16:50;19.08.2024 21:17:33;121;0;71;0;53;51;148;0;290;0;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;153;0;680;920;0;0;277;0;0;0;1,66;1,39;0;0;1589;277;3,15;153;0;16,1;
16334;1;FILIGRAN;0,8;19.08.2024 21:14:45;19.08.2024 21:16:34;19.08.2024 21:17:37;19.08.2024 21:19:15;19.08.2024 21:21:47;122;0;72;29;50;48;141;108;284;137;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;153;0;680;921;0;0;277;0;0;0;1,68;1,39;0;0;1590;282;3,18;158;0;16,1;
16335;1;FILIGRAN;0,8;19.08.2024 21:37:35;19.08.2024 21:39:23;19.08.2024 21:39:57;19.08.2024 21:41:39;19.08.2024 21:42:23;121;0;71;0;51;51;145;0;287;0;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;153;0;680;920;0;0;277;0;0;0;1,66;1,4;0;0;1589;281;3,17;152;0;17,5;
16336;1;FILIGRAN;0,7;19.08.2024 21:39:37;19.08.2024 21:41:21;19.08.2024 21:42:27;19.08.2024 21:44:01;19.08.2024 21:46:44;117;0;70;32;48;46;137;120;274;152;595;805;0;0;245;0;0;0;1,47;1,22;0;0;1400;245;2,69;134;0;596;805;0;0;241;0;0;0;1,45;1,23;0;0;1391;246;2,78;145;0;14,1;
16337;1;FILIGRAN;0,8;19.08.2024 22:18:36;19.08.2024 22:20:24;19.08.2024 22:20:58;19.08.2024 22:22:38;19.08.2024 22:23:22;122;0;71;0;51;49;143;0;286;0;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;153;0;680;920;0;0;277;0;0;0;1,66;1,39;0;0;1587;279;3,15;157;0;15;
16338;1;FILIGRAN;0,7;19.08.2024 22:24:31;19.08.2024 22:26:15;19.08.2024 22:26:49;19.08.2024 22:28:27;19.08.2024 22:29:11;117;0;72;0;50;49;142;0;279;0;595;805;0;0;245;0;0;0;1,47;1,22;0;0;1400;245;2,69;136;0;595;805;0;0;241;0;0;0;1,45;1,21;0;0;1391;241;2,76;135;0;15,3;
16339;1;FILIGRAN;0,6;19.08.2024 22:26:29;19.08.2024 22:28:08;19.08.2024 22:29:15;19.08.2024 22:30:46;19.08.2024 22:34:04;112;0;71;33;47;44;135;155;268;188;510;690;0;0;210;0;0;0;1,26;1,05;0;0;1200;210;2,31;117;0;509;690;0;0;204;0;0;0;1,24;1,04;0;0;1193;207;2,37;122;0;13,1;
16340;1;FILIGRAN;0,8;19.08.2024 22:40:11;19.08.2024 22:42:00;19.08.2024 22:42:34;19.08.2024 22:44:16;19.08.2024 22:45:51;121;0;71;0;54;48;146;52;288;52;680;920;0;0;280;0;0;0;1,68;1,4;0;0;1600;280;3,08;156;0;680;920;0;0;277;0;0;0;1,66;1,39;0;0;1589;293;3,16;167;0;14,8;
